,fyear,State-local average assumed return,Private average assumed return,10-year Treasury yield
1,1990,7.76,NA,8.27904
2,1991,7.81,NA,8.316345382
3,1992,7.83,NA,7.497649402
4,1993,NA,8.214,6.402
5,1994,7.84,8.145,6.09888
6,1995,NA,7.987,7.30436
7,1996,7.84,7.972,6.21752988
8,1997,NA,7.71,6.60168
9,1998,7.88,7.495,5.8364
10,1999,NA,7.961,5.107569721
11,2000,7.91,8.052,6.169246032
12,2001,8.036785693,7.761,5.44632
13,2002,8.022068947,7.469,4.985951417
14,2003,7.991554042,7.267,3.9558
15,2004,7.958129365,6.816,4.27956
16,2005,7.940241567,6.643,4.234501992
17,2006,7.927610449,6.472,4.58764
18,2007,7.91359587,6.307,4.763505976
19,2008,7.89396802,6.512,4.1402
20,2009,7.864198819,6.181,3.2954
21,2010,7.822880421,5.721,3.546693227
22,2011,7.746137502,5.112,3.078565737
23,2012,7.682145841,4.36,2.082430279
24,2013,7.637152476,NA,1.82141129
25,2014,7.646372615,NA,2.70868
26,2015,7.496428596,NA,2.229880478
27,2016,NA,NA,2.01940239
28,2017,NA,NA,1.925724138
